time,value,n
2006-01-01,23.11111111111111,18
2006-02-01,23.055555555555557,36
2006-03-01,19.756756756756758,37
2006-04-01,24.13157894736842,38
2006-05-01,15.35897435897436,39
2006-06-01,21.9,40
2006-07-01,30.756097560975622,41
2006-08-01,26.285714285714285,42
2006-09-01,25.488372093023255,43
2006-10-01,32.977272727272734,44
2006-11-01,41.644444444444446,45
2006-12-01,31.304347826086957,46
2007-01-01,23.23913043478261,46
2007-02-01,30.23913043478261,46
2007-03-01,30.47826086956522,46
2007-04-01,21.543478260869566,46
2007-05-01,20.304347826086957,46
2007-06-01,29.47826086956522,46
2007-07-01,30.282608695652176,46
2007-08-01,18.195652173913047,46
2007-09-01,29.17391304347826,46
2007-10-01,24.73913043478261,46
2007-11-01,30.152173913043477,46
2007-12-01,34.43478260869565,46
2008-01-01,27.5,46
2008-02-01,22.173913043478258,46
2008-03-01,19.217391304347824,46
2008-04-01,22.434782608695652,46
2008-05-01,19.282608695652176,46
2008-06-01,20.586956521739133,46
2008-07-01,24.804347826086957,46
2008-08-01,26.58695652173913,46
2008-09-01,25.347826086956523,46
2008-10-01,26.32608695652174,46
2008-11-01,28.391304347826086,46
2008-12-01,35.26086956521739,46
2009-01-01,23.76086956521739,46
2009-02-01,32.239130434782616,46
2009-03-01,35.76086956521739,46
2009-04-01,28,46
2009-05-01,26.217391304347824,46
2009-06-01,22.608695652173914,46
2009-07-01,23.891304347826093,46
2009-08-01,31.630434782608695,46
2009-09-01,24.456521739130434,46
2009-10-01,18.41304347826087,46
2009-11-01,24.065217391304348,46
2009-12-01,49.630434782608695,46
2010-01-01,31.23913043478261,46
2010-02-01,22.347826086956523,46
2010-03-01,33.45652173913044,46
2010-04-01,21.891304347826086,46
2010-05-01,27.217391304347824,46
2010-06-01,29.5,46
2010-07-01,21.999999999999996,46
2010-08-01,30.58695652173913,46
2010-09-01,23.17391304347826,46
2010-10-01,22.717391304347824,46
2010-11-01,31.847826086956523,46
2010-12-01,37.5,46
2011-01-01,35.50000000000001,46
2011-02-01,24.08695652173913,46
2011-03-01,26.391304347826086,46
2011-04-01,31.565217391304348,46
2011-05-01,28.47826086956522,46
2011-06-01,28.934782608695652,46
2011-07-01,29.043478260869566,46
2011-08-01,34.19565217391304,46
2011-09-01,27.32608695652174,46
2011-10-01,27.695652173913043,46
2011-11-01,36.80434782608695,46
2011-12-01,36.2608695652174,46
2012-01-01,25.847826086956523,46
2012-02-01,26.73913043478261,46
2012-03-01,31.67391304347826,46
2012-04-01,27.847826086956523,46
2012-05-01,26.97826086956522,46
2012-06-01,27.782608695652176,46
2012-07-01,31.5,46
2012-08-01,36.23913043478261,46
2012-09-01,32.39130434782608,46
2012-10-01,34.34782608695651,46
2012-11-01,36.76086956521739,46
2012-12-01,37.76086956521739,46
2013-01-01,29.282608695652176,46
2013-02-01,29.782608695652176,46
2013-03-01,36.1304347826087,46
2013-04-01,35.17391304347826,46
2013-05-01,32.54347826086956,46
2013-06-01,27.630434782608695,46
2013-07-01,37.478260869565226,46
2013-08-01,37.847826086956516,46
2013-09-01,30.717391304347824,46
2013-10-01,32.91304347826087,46
2013-11-01,33.23913043478261,46
2013-12-01,48.47826086956522,46
2014-01-01,32.04347826086956,46
2014-02-01,39.15217391304348,46
2014-03-01,30.91304347826087,46
2014-04-01,34.1304347826087,46
2014-05-01,32.89130434782609,46
2014-06-01,40.543478260869556,46
2014-07-01,43.043478260869556,46
2014-08-01,40.7391304347826,46
2014-09-01,32.97826086956522,46
2014-10-01,35.630434782608695,46
2014-11-01,57.47826086956522,46
2014-12-01,70.17391304347828,46
2015-01-01,50.17391304347826,46
2015-02-01,46.02173913043478,46
2015-03-01,48.02173913043478,46
2015-04-01,47.58695652173913,46
2015-05-01,48.41304347826087,46
2015-06-01,49.97826086956522,46
2015-07-01,55.891304347826086,46
2015-08-01,64.19565217391305,46
2015-09-01,57.21739130434783,46
2015-10-01,58.76086956521739,46
2015-11-01,81.17391304347827,46
2015-12-01,99.54347826086956,46
2016-01-01,57.630434782608695,46
2016-02-01,48.608695652173914,46
2016-03-01,49.65217391304348,46
2016-04-01,44.26086956521739,46
2016-05-01,56.67391304347826,46
2016-06-01,34.413043478260875,46
2016-07-01,34.71739130434783,46
2016-08-01,40.21739130434783,46
2016-09-01,38.02173913043478,46
2016-10-01,28.434782608695652,46
2016-11-01,35.260869565217384,46
2016-12-01,46.543478260869556,46
2017-01-01,30.717391304347824,46
2017-02-01,34.608695652173914,46
2017-03-01,34.52173913043478,46
2017-04-01,28,46
2017-05-01,26.869565217391305,46
2017-06-01,28.956521739130434,46
2017-07-01,30.195652173913043,46
2017-08-01,33.95652173913043,46
2017-09-01,29.304347826086957,46
2017-10-01,29.08695652173913,46
2017-11-01,32.869565217391305,46
2017-12-01,40.869565217391305,46
2018-01-01,30.52173913043478,46
2018-02-01,30.065217391304348,46
2018-03-01,24.195652173913043,46
2018-04-01,29.434782608695652,46
2018-05-01,27.391304347826086,46
2018-06-01,27.934782608695652,46
2018-07-01,30.347826086956523,46
2018-08-01,33.108695652173914,46
2018-09-01,29.891304347826086,46
2018-10-01,33.93478260869565,46
2018-11-01,36.3695652173913,46
2018-12-01,38.195652173913054,46
2019-01-01,30.782608695652176,46
2019-02-01,30.043478260869566,46
2019-03-01,31.5,46
2019-04-01,28.804347826086957,46
2019-05-01,29.565217391304348,46
2019-06-01,29.108695652173914,46
2019-07-01,31.82608695652174,46
2019-08-01,32.608695652173914,46
2019-09-01,33.739130434782616,46
2019-10-01,34.65217391304349,46
