time,value
2006-01-01,-3.1136981039306204
2006-01-02,-2.700074921005
2006-01-03,-2.9135834157628016
2006-01-04,-2.565667172271443
2006-01-05,-3.0823177694133097
2006-01-06,-1.78456791515011
2006-01-07,-3.0277312125777396
2006-01-08,0.14533694756917778
2006-01-09,-1.6876364709080363
2006-01-10,-2.109979307700529
2006-01-11,-0.7585003260067839
2006-01-12,-0.8696712183034039
2006-01-13,-1.3943601427205565
2006-01-14,-1.6910747990415231
2006-01-15,-0.34438894138486414
2006-01-16,-0.4430875283866711
2006-01-17,-1.8197269912300194
2006-01-18,-0.9246768601353889
2006-01-19,-1.793448189670133
2006-01-20,-2.28226089386721
2006-01-21,-2.5332440837077934
2006-01-22,-2.7179297323209415
2006-01-23,-2.0717936882573587
2006-01-24,-1.1177172341169137
2006-01-25,-1.9587977526686942
2006-01-26,-1.8956248327147933
2006-01-27,-2.2414438861973003
2006-01-28,-0.9774452427448863
2006-01-29,-1.8208384973812213
2006-01-30,-1.6671566443638675
2006-01-31,-2.317085613524021
2006-02-01,-2.059384605339202
2006-02-02,-1.6992875470255666
2006-02-03,-1.7227905279939908
2006-02-04,-2.81042300212991
2006-02-05,-2.354345861967234
2006-02-06,-1.7968856856891844
2006-02-07,-1.764341248595884
2006-02-08,-1.3934582479570146
2006-02-09,-2.406242145845986
2006-02-10,-1.2991342187231019
2006-02-11,-2.645016968021107
2006-02-12,-1.9766739873835375
2006-02-13,-1.2833604407682517
2006-02-14,-1.7063543750000514
2006-02-15,-1.9705382579782622
2006-02-16,-1.7664935137228674
2006-02-17,-2.091840470178684
2006-02-18,-1.9204210873367877
2006-02-19,-2.4012157330422053
2006-02-20,-2.4901796694146894
2006-02-21,-2.134240622313303
2006-02-22,-1.5043732163518262
2006-02-23,-2.1690106130190268
2006-02-24,-1.8988947637379385
2006-02-25,-1.598330437073135
2006-02-26,-1.418726054444596
2006-02-27,-0.9743337951601195
2006-02-28,-0.9367463030431
2006-03-01,-1.0858212056377317
2006-03-02,-1.2551185743422477
2006-03-03,-1.8276525543031428
2006-03-04,-0.6771238475560512
2006-03-05,-0.6823653262739062
2006-03-06,-1.6723446755594291
2006-03-07,-1.9677140696707418
2006-03-08,-2.7695421626710495
2006-03-09,-2.2328254188369905
2006-03-10,-3.008542667526928
2006-03-11,-2.1999285747770556
2006-03-12,-1.8852848420290451
2006-03-13,-2.0071605726479502
2006-03-14,-1.5855100639105821
2006-03-15,-2.0870668807828374
2006-03-16,-1.5955884995672485
2006-03-17,-1.1702786084405963
2006-03-18,-2.60845250155665
2006-03-19,-1.6335633723958978
2006-03-20,-2.1031982651432215
2006-03-21,-1.6908970917896964
2006-03-22,-1.7441084876573596
2006-03-23,-1.2650842691706263
2006-03-24,-1.6935464193358238
2006-03-25,-0.9052397450516975
2006-03-26,-0.3685438532032836
2006-03-27,-1.1257112131040836
2006-03-28,-1.794960012126468
2006-03-29,-1.3708330628760912
2006-03-30,-0.855071987268633
2006-03-31,-1.1859820161825576
2006-04-01,-1.9571807847672382
2006-04-02,-1.5814949963195157
2006-04-03,-1.6810055552271366
2006-04-04,-1.0514068697447327
2006-04-05,-1.7602325076748333
2006-04-06,-2.3049872369478765
2006-04-07,-1.8197980592133327
2006-04-08,-2.3417694663758364
2006-04-09,-0.9251168686050006
2006-04-10,-1.6958895866038064
2006-04-11,-1.456292618440917
2006-04-12,-1.2908042605872099
2006-04-13,-1.7910384082236213
2006-04-14,-2.3730401986782375
2006-04-15,-2.2146339536909303
2006-04-16,-2.3679157142676526
2006-04-17,-0.9108742743618882
2006-04-18,-2.369781604825183
2006-04-19,-1.881417437713973
2006-04-20,-1.723248295332635
2006-04-21,-1.7333067419676822
2006-04-22,-2.461064844345349
2006-04-23,-2.384566750084751
2006-04-24,-2.244853274307018
2006-04-25,-0.9057142327016298
2006-04-26,-1.4696983190238966
2006-04-27,-1.4136485134845311
2006-04-28,-1.9960600122290804
2006-04-29,-2.117735422841287
2006-04-30,-1.8492829932130177
2006-05-01,-1.3810692077936568
2006-05-02,-1.5161691891462519
2006-05-03,-1.6547643028596708
2006-05-04,-2.152504464159811
2006-05-05,-2.622174816015888
2006-05-06,-1.282250526971328
2006-05-07,-2.144123371910761
2006-05-08,-2.2241164999147327
2006-05-09,-2.1624818254876623
2006-05-10,-1.8621682599266889
2006-05-11,-1.4552165217469328
2006-05-12,-1.6109407742669049
2006-05-13,-1.3364998860723218
2006-05-14,-1.599448686270786
2006-05-15,-1.5622400943936408
2006-05-16,-1.8861256764368188
2006-05-17,-0.792651309610525
2006-05-18,-1.7019555945397682
2006-05-19,-0.9081747901826901
2006-05-20,-1.5887241741015279
2006-05-21,-1.684775694051814
2006-05-22,-1.7490156715983636
2006-05-23,-1.5240555163000695
2006-05-24,-1.6308150123362313
2006-05-25,-1.783745324683894
2006-05-26,-1.1124833610087357
2006-05-27,-1.9902056881145829
2006-05-28,-2.107551547377243
2006-05-29,-1.1251914007851487
2006-05-30,-0.9618571667965172
2006-05-31,-1.8963524004411116
2006-06-01,-1.5853826946921696
2006-06-02,-1.5996982624982532
2006-06-03,-1.9087719899077549
2006-06-04,-1.229063545491948
2006-06-05,-1.296462058417836
2006-06-06,-1.732604779966967
2006-06-07,-1.8785839601267196
2006-06-08,-1.9930991993008573
2006-06-09,-2.3927844800959153
2006-06-10,-1.8720154889009313
2006-06-11,-1.988691756654386
2006-06-12,-2.3011102223421736
2006-06-13,-2.098805079461014
2006-06-14,-2.132456680449669
2006-06-15,-2.5496972609145754
2006-06-16,-2.5699690825970185
