time,value
2006-01-01,-3.143366119434444
2006-01-02,-2.7245681208814085
2006-01-03,-2.9394419407222476
2006-01-04,-2.5840568200469742
2006-01-05,-3.0996825774537977
2006-01-06,-1.8073552912142463
2006-01-07,-3.038092872432471
2006-01-08,0.13453263670700136
2006-01-09,-1.6958588424675498
2006-01-10,-2.1193482119896427
2006-01-11,-0.7623995320199514
2006-01-12,-0.8710198200789817
2006-01-13,-1.4073538651534703
2006-01-14,-1.7021368605327716
2006-01-15,-0.3535150101193383
2006-01-16,-0.453769572461996
2006-01-17,-1.8343035827179928
2006-01-18,-0.9351823575894656
2006-01-19,-1.8012558705437869
2006-01-20,-2.295102200574089
2006-01-21,-2.54336867711209
2006-01-22,-2.7303668723737595
2006-01-23,-2.0774601250541727
2006-01-24,-1.1217837983852796
2006-01-25,-1.967365719259768
2006-01-26,-1.8997664238762595
2006-01-27,-2.239729527111517
2006-01-28,-0.9784491564137764
2006-01-29,-1.8213944071750678
2006-01-30,-1.6521571899362961
2006-01-31,-2.3169877423717136
2006-02-01,-2.0537053100097147
2006-02-02,-1.6992509264613367
2006-02-03,-1.719531800532899
2006-02-04,-2.800901111136746
2006-02-05,-2.342864131605022
2006-02-06,-1.775308901510937
2006-02-07,-1.7447481996013452
2006-02-08,-1.3714651932632993
2006-02-09,-2.384844337329497
2006-02-10,-1.276402019283659
2006-02-11,-2.619772155185317
2006-02-12,-1.9591610557104286
2006-02-13,-1.2571007003181172
2006-02-14,-1.6801814551700947
2006-02-15,-1.9512236970868966
2006-02-16,-1.741862771137597
2006-02-17,-2.0736504768395534
2006-02-18,-1.89683800767535
2006-02-19,-2.3883229987404166
2006-02-20,-2.4751950324014365
2006-02-21,-2.1233410729586737
2006-02-22,-1.4938739059977726
2006-02-23,-2.1599254418802496
2006-02-24,-1.8896571158692554
2006-02-25,-1.5807862677779099
2006-02-26,-1.4112667761943543
2006-02-27,-0.9483461697544038
2006-02-28,-0.9206070531288209
2006-03-01,-1.0730094415896039
