id,time,value
trend,2006-01-01,60.52218246228789
trend,2006-01-02,60.526290821038856
trend,2006-01-03,60.530399179789825
trend,2006-01-04,60.53450753854079
trend,2006-01-05,60.53861589729175
trend,2006-01-06,60.54272425604272
trend,2006-01-07,60.546832614793686
trend,2006-01-08,60.55094097354465
trend,2006-01-09,60.55504933229562
trend,2006-01-10,60.559157691046586
trend,2006-01-11,60.56326604979755
trend,2006-01-12,60.56737440854851
trend,2006-01-13,60.57148276729948
trend,2006-01-14,60.57559112605044
trend,2006-01-15,60.57969948480141
trend,2006-01-16,60.58380784355238
trend,2006-01-17,60.58791620230334
trend,2006-01-18,60.59202456105431
trend,2006-01-19,60.59613291980527
trend,2006-01-20,60.60024127855623
trend,2006-01-21,60.6043496373072
trend,2006-01-22,60.60845799605817
trend,2006-01-23,60.61256635480913
trend,2006-01-24,60.6166747135601
trend,2006-01-25,60.62078307231107
trend,2006-01-26,60.62489143106203
trend,2006-01-27,60.628999789812994
trend,2006-01-28,60.63310814856396
trend,2006-01-29,60.63721650731493
trend,2006-01-30,60.641324866065894
trend,2006-01-31,60.64543322481686
trend,2006-02-01,60.64954158356783
trend,2006-02-02,60.65364994231879
trend,2006-02-03,60.657758301069755
trend,2006-02-04,60.661866659820724
trend,2006-02-05,60.665975018571686
trend,2006-02-06,60.670083377322655
trend,2006-02-07,60.674191736073624
trend,2006-02-08,60.678300094824586
trend,2006-02-09,60.682408453575555
trend,2006-02-10,60.686516812326516
trend,2006-02-11,60.69062517107748
trend,2006-02-12,60.69473352982845
trend,2006-02-13,60.698841888579416
trend,2006-02-14,60.70295024733038
trend,2006-02-15,60.70705860608135
trend,2006-02-16,60.711166964832316
trend,2006-02-17,60.71527532358328
trend,2006-02-18,60.71938368233424
trend,2006-02-19,60.72349204108521
trend,2006-02-20,60.72760039983618
trend,2006-02-21,60.73170875858714
trend,2006-02-22,60.73581711733811
trend,2006-02-23,60.73992547608908
trend,2006-02-24,60.74403383484003
trend,2006-02-25,60.748142193591
trend,2006-02-26,60.75225055234197
trend,2006-02-27,60.75635891109293
trend,2006-02-28,60.7604672698439
trend,2006-03-01,60.76457562859487
trend,2006-03-02,60.76868398734583
trend,2006-03-03,60.77279234609679
trend,2006-03-04,60.77690070484776
trend,2006-03-05,60.781009063598724
trend,2006-03-06,60.78511742234969
trend,2006-03-07,60.78922578110066
trend,2006-03-08,60.79333413985162
trend,2006-03-09,60.79744249860259
trend,2006-03-10,60.801550857353554
trend,2006-03-11,60.80565921610452
trend,2006-03-12,60.809767574855485
trend,2006-03-13,60.813875933606454
trend,2006-03-14,60.81798429235742
trend,2006-03-15,60.822092651108385
trend,2006-03-16,60.82620100985935
trend,2006-03-17,60.83030936861032
trend,2006-03-18,60.83441772736128
trend,2006-03-19,60.838526086112246
trend,2006-03-20,60.842634444863215
trend,2006-03-21,60.84674280361418
trend,2006-03-22,60.850851162365146
trend,2006-03-23,60.854959521116115
trend,2006-03-24,60.85906787986708
trend,2006-03-25,60.86317623861804
trend,2006-03-26,60.86728459736901
trend,2006-03-27,60.87139295611997
trend,2006-03-28,60.87550131487094
trend,2006-03-29,60.87960967362191
trend,2006-03-30,60.883718032372876
trend,2006-03-31,60.88782639112384
trend,2006-04-01,60.8919347498748
trend,2006-04-02,60.89604310862577
trend,2006-04-03,60.90015146737673
trend,2006-04-04,60.9042598261277
trend,2006-04-05,60.90836818487867
trend,2006-04-06,60.91247654362963
trend,2006-04-07,60.9165849023806
